config	conc	req/s	波动%	out_tok/s	TTFT_p50	TTFT_p99	TPOT_p50
base	16	3.34	5.0	427.1	769	1928	29.9
base	64	3.32	0.1	425.5	14560	18949	33.0
seqs64	16	3.33	5.3	426.1	866	1894	29.0
seqs64	64	3.60	0.1	461.4	12259	16744	37.2
seqs256	16	3.33	4.9	426.2	782	2096	28.9
seqs256	64	3.59	0.2	459.6	12406	16964	36.3
util90	16	3.12	4.4	399.0	951	3896	29.9
util90	64	3.10	0.3	397.3	16321	20976	29.7
util96	16	3.33	5.8	425.9	875	1910	29.4
util96	64	3.76	0.3	481.0	11819	14666	42.2
len4096	16	3.33	5.2	426.2	780	1974	29.1
len4096	64	3.58	0.7	458.8	12294	17006	37.5
kvmem381	16	3.34	5.6	426.9	841	1894	29.2
kvmem381	64	4.00	0.2	511.9	9391	14709	43.7
