tag	status	seq_len	batch	tokens_step	prec	sdpa	ckpt	step_ms	std_ms	tok_s	alloc_MiB	resv_MiB	smi_MiB	MFU_%	MFU_head_%	HFU_%
bsw_s512_b12_ckpt0	OOM	512	12	6144	bf16	flash	0				22314	22322	22795			
bsw_s512_b12_ckpt1	ok	512	12	6144	bf16	flash	1	557.4	0.87	11022	20334	23532	24013	21.22	27.83	28.29
bsw_s512_b16_ckpt1	OOM	512	16	8192	bf16	flash	1				20854	21370	21851			
bsw_s512_b1_ckpt0	ok	512	1	512	bf16	flash	0	148.2	2.06	3454	11538	11878	12359	6.65	8.72	6.65
bsw_s512_b2_ckpt0	ok	512	2	1024	bf16	flash	0	143.8	2.04	7120	12310	12958	13439	13.71	17.98	13.71
bsw_s512_b4_ckpt0	ok	512	4	2048	bf16	flash	0	177.5	0.56	11536	16644	16682	17163	22.21	29.13	22.21
bsw_s512_b4_ckpt1	ok	512	4	2048	bf16	flash	1	225.6	0.87	9079	11982	15560	16041	17.48	22.93	23.31
bsw_s512_b6_ckpt0	ok	512	6	3072	bf16	flash	0	244.0	0.31	12591	20972	21792	22273	24.24	31.80	24.24
bsw_s512_b8_ckpt0	OOM	512	8	4096	bf16	flash	0				22946	23166	23647			
bsw_s512_b8_ckpt1	ok	512	8	4096	bf16	flash	1	365.8	0.42	11197	15934	19732	20213	21.56	28.28	28.74
ckpt1_s2048_b1	ok	2048	1	2048	bf16	flash	1	252.7	2.70	8103	11982	15564	16045	21.11	25.97	28.14
ckpt1_s512_b4	ok	512	4	2048	bf16	flash	1	239.8	0.27	8542	11982	15560	16041	16.45	21.57	21.93
prec_bf16_s2048_b1	ok	2048	1	2048	bf16	mem_efficient	0	207.0	0.07	9892	16645	16684	17165	25.77	31.70	25.77
prec_bf16_s512_b4	ok	512	4	2048	bf16	mem_efficient	0	182.4	0.58	11231	16644	16682	17163	21.62	28.36	21.62
prec_fp32_s2048_b1	ok	2048	1	2048	fp32	mem_efficient	0	420.1	0.41	4875	18345	19000	19475	12.70	15.62	12.70
prec_fp32_s512_b4	ok	512	4	2048	fp32	mem_efficient	0	344.3	1.98	5948	18344	18998	19473	11.45	15.02	11.45
ref_s2048_b1	ok	2048	1	2048	bf16	flash	0	187.8	0.13	10907	16645	16684	17165	28.41	34.95	28.41
ref_s512_b4	ok	512	4	2048	bf16	flash	0	178.3	0.54	11486	16644	16682	17163	22.11	29.00	22.11
rep2_ckpt1_s2048_b1	ok	2048	1	2048	bf16	flash	1	231.2	3.59	8858	11982	15564	16045	23.07	28.39	30.76
rep2_ckpt1_s512_b4	ok	512	4	2048	bf16	flash	1	236.0	5.57	8678	11982	15560	16041	16.71	21.91	22.28
rep2_ref_s2048_b1	ok	2048	1	2048	bf16	flash	0	188.6	0.17	10861	16645	16684	17165	28.29	34.81	28.29
rep3_ckpt1_s2048_b1	ok	2048	1	2048	bf16	flash	1	243.1	0.66	8426	11982	15564	16045	21.95	27.00	29.26
rep3_ckpt1_s512_b4	ok	512	4	2048	bf16	flash	1	226.9	1.11	9024	11982	15560	16041	17.37	22.79	23.17
rep4_ckpt1_s2048_b1	ok	2048	1	2048	bf16	flash	1	226.7	1.18	9035	11982	15564	16045	23.53	28.96	31.38
rep4_ckpt1_s512_b4	ok	512	4	2048	bf16	flash	1	228.2	2.73	8975	11982	15560	16041	17.28	22.66	23.04
sdpa_cudnn_s2048_b1	ok	2048	1	2048	bf16	cudnn	0	191.0	1.00	10723	16645	16684	17169	27.93	34.36	27.93
sdpa_cudnn_s512_b4	ok	512	4	2048	bf16	cudnn	0	178.8	0.40	11457	16644	16682	17167	22.06	28.93	22.06
sdpa_flash_s2048_b1	ok	2048	1	2048	bf16	flash	0	187.9	0.21	10899	16645	16684	17165	28.39	34.93	28.39
sdpa_flash_s512_b4	ok	512	4	2048	bf16	flash	0	177.4	1.63	11542	16644	16682	17163	22.22	29.15	22.22
sdpa_math_s2048_b1	OOM	2048	1	2048	bf16	math	0				22338	22666	23147			
sdpa_math_s512_b4	ok	512	4	2048	bf16	math	0	228.4	0.42	8966	19328	19448	19929	17.26	22.64	17.26
sdpa_mem_efficient_s2048_b1	ok	2048	1	2048	bf16	mem_efficient	0	206.3	0.08	9927	16645	16684	17165	25.86	31.81	25.86
sdpa_mem_efficient_s512_b4	ok	512	4	2048	bf16	mem_efficient	0	182.1	0.07	11245	16644	16682	17163	21.65	28.40	21.65
tok2048_s1024_b2	ok	1024	2	2048	bf16	flash	0	180.4	0.29	11351	16644	16682	17163	24.42	31.24	24.42
tok2048_s2048_b1	ok	2048	1	2048	bf16	flash	0	187.8	0.20	10907	16645	16684	17165	28.41	34.95	28.41
tok2048_s256_b8	ok	256	8	2048	bf16	flash	0	176.2	0.18	11623	16643	16682	17163	21.06	28.03	21.06
tok2048_s512_b4	ok	512	4	2048	bf16	flash	0	177.2	0.11	11560	16644	16682	17163	22.26	29.19	22.26
tok4096_s1024_b4	OOM	1024	4	4096	bf16	flash	0				22946	23166	21273			
tok4096_s2048_b2	OOM	2048	2	4096	bf16	flash	0				22947	23166	21273			
tok4096_s512_b8	OOM	512	8	4096	bf16	flash	0				22946	23166	21273			
