-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     251.950ms        40.45%     251.950ms      83.983ms           0 B           0 B           0 B           0 B             3            --  
                                               aten::mm         3.50%      63.341ms         4.54%      82.075ms      34.763us     183.679ms        29.49%     183.679ms      77.797us           0 B           0 B      15.92 GB      15.92 GB          2361  27382027124.736  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     157.444ms        25.28%     157.444ms      52.481ms           0 B           0 B           0 B           0 B             3            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      81.910ms        13.15%      81.910ms      74.804us           0 B           0 B           0 B           0 B          1095            --  
                                            aten::copy_         1.69%      30.626ms         3.66%      66.182ms      11.520us      66.231ms        10.63%      66.231ms      11.528us           0 B           0 B           0 B           0 B          5745            --  
                                              aten::mul         4.68%      84.646ms         6.60%     119.304ms      22.044us      54.560ms         8.76%      54.560ms      10.081us           0 B           0 B      48.79 GB      48.79 GB          5412  12386214.912  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.983ms         5.94%      36.983ms      11.553us           0 B           0 B           0 B           0 B          3201            --  
                        aten::_flash_attention_backward         0.22%       3.923ms         0.76%      13.682ms     162.882us      32.485ms         5.22%      34.228ms     407.480us           0 B           0 B       1.31 GB      -2.64 GB            84            --  
                                    aten::_foreach_mul_         0.03%     512.434us         0.04%     806.796us     134.466us      31.867ms         5.12%      31.867ms       5.311ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.867ms         5.12%      31.867ms       1.062ms           0 B           0 B           0 B           0 B            30            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      31.346ms         5.03%      31.346ms      10.929us           0 B           0 B           0 B           0 B          2868            --  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      30.871ms         4.96%      30.871ms     367.516us           0 B           0 B           0 B           0 B            84            --  
                                aten::_foreach_addcdiv_         0.02%     365.778us         0.03%     472.287us     157.429us      30.752ms         4.94%      30.752ms      10.251ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      30.752ms         4.94%      30.752ms       2.050ms           0 B           0 B           0 B           0 B            15            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      28.790ms         4.62%      28.790ms      57.123us           0 B           0 B           0 B           0 B           504            --  
                         aten::_flash_attention_forward         0.20%       3.557ms         0.54%       9.685ms      57.649us      28.472ms         4.57%      28.472ms     169.477us           0 B           0 B       1.33 GB           0 B           168            --  
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      28.472ms         4.57%      28.472ms     169.477us           0 B           0 B           0 B           0 B           168            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      24.727ms         3.97%      24.727ms      98.124us           0 B           0 B           0 B           0 B           252            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.192ms         3.88%      24.192ms      14.298us           0 B           0 B           0 B           0 B          1692            --  
                                aten::_foreach_addcmul_         0.02%     312.770us         0.02%     419.938us     139.979us      23.475ms         3.77%      23.475ms       7.825ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.475ms         3.77%      23.475ms       1.565ms           0 B           0 B           0 B           0 B            15            --  
                                   aten::_foreach_lerp_         0.02%     296.001us         0.02%     414.009us     138.003us      23.450ms         3.76%      23.450ms       7.817ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.450ms         3.76%      23.450ms       1.563ms           0 B           0 B           0 B           0 B            15            --  
                                             aten::add_         0.39%       7.120ms         0.74%      13.341ms       6.578us      18.915ms         3.04%      18.915ms       9.327us           0 B           0 B           0 B           0 B          2028            --  
                       aten::_log_softmax_backward_data         0.00%      86.589us         0.01%     130.606us      43.535us      16.200ms         2.60%      16.200ms       5.400ms           0 B           0 B       3.48 GB       3.48 GB             3            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.200ms         2.60%      16.200ms       5.400ms           0 B           0 B           0 B           0 B             3            --  
                                    aten::_foreach_add_         0.08%       1.416ms         0.13%       2.320ms     386.600us      15.953ms         2.56%      15.953ms       2.659ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.953ms         2.56%      15.953ms       1.064ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_sqrt         0.09%       1.696ms         0.31%       5.536ms       1.845ms      15.940ms         2.56%      15.940ms       5.313ms           0 B           0 B       6.66 GB           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.940ms         2.56%      15.940ms       1.063ms           0 B           0 B           0 B           0 B            15            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.808s
Self CUDA time total: 622.899ms
