-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.60%      31.871ms        11.39%     226.256ms     127.612us     564.766ms        45.76%     564.766ms     318.537us           0 B           0 B      24.60 GB      24.60 GB          1773  21970368331.776  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     362.671ms        29.39%     362.671ms     120.890ms           0 B           0 B           0 B           0 B             3            --  
                    aten::_efficient_attention_backward         0.24%       4.735ms         4.44%      88.226ms       1.050ms     264.001ms        21.39%     269.702ms       3.211ms           0 B           0 B       2.62 GB      -5.27 GB            84            --  
fmha_cutlassB_f32_aligned_64x64_k128_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us     264.001ms        21.39%     264.001ms       3.143ms           0 B           0 B           0 B           0 B            84            --  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     165.831ms        13.44%     165.831ms     282.025us           0 B           0 B           0 B           0 B           588            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     157.487ms        12.76%     157.487ms      52.496ms           0 B           0 B           0 B           0 B             3            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us     143.204ms        11.60%     143.204ms     338.545us           0 B           0 B           0 B           0 B           423            --  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      98.790ms         8.01%      98.790ms     235.214us           0 B           0 B           0 B           0 B           420            --  
                     aten::_efficient_attention_forward         0.07%       1.371ms         0.30%       6.030ms      71.784us      83.157ms         6.74%      83.318ms     991.883us           0 B           0 B       1.32 GB           0 B            84            --  
fmha_cutlassF_f32_aligned_64x128_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      83.157ms         6.74%      83.157ms     989.965us           0 B           0 B           0 B           0 B            84            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us      79.826ms         6.47%      79.826ms     466.818us           0 B           0 B           0 B           0 B           171            --  
                                              aten::mul         2.26%      44.925ms         5.13%     101.899ms      23.138us      56.872ms         4.61%      56.872ms      12.914us           0 B           0 B      41.57 GB      41.57 GB          4404  10272092.160  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      55.071ms         4.46%      55.071ms      18.357ms           0 B           0 B           0 B           0 B             3            --  
                                    aten::_foreach_mul_         0.02%     448.890us         0.04%     741.410us     123.568us      31.872ms         2.58%      31.872ms       5.312ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.872ms         2.58%      31.872ms       1.062ms           0 B           0 B           0 B           0 B            30            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      31.393ms         2.54%      31.393ms      13.279us           0 B           0 B           0 B           0 B          2364            --  
                                aten::_foreach_addcdiv_         0.02%     360.158us         0.02%     470.267us     156.756us      30.752ms         2.49%      30.752ms      10.251ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      30.752ms         2.49%      30.752ms       2.050ms           0 B           0 B           0 B           0 B            15            --  
                                aten::_foreach_addcmul_         0.02%     331.460us         0.02%     439.499us     146.500us      23.502ms         1.90%      23.502ms       7.834ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.502ms         1.90%      23.502ms       1.567ms           0 B           0 B           0 B           0 B            15            --  
                                   aten::_foreach_lerp_         0.01%     275.020us         0.02%     386.333us     128.778us      23.474ms         1.90%      23.474ms       7.825ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.474ms         1.90%      23.474ms       1.565ms           0 B           0 B           0 B           0 B            15            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.781ms         1.85%      22.781ms      16.800us           0 B           0 B           0 B           0 B          1356            --  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      20.604ms         1.67%      20.604ms     122.646us           0 B           0 B           0 B           0 B           168            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.345ms         1.57%      19.345ms      20.801us           0 B           0 B           0 B           0 B           930            --  
                       aten::_log_softmax_backward_data         0.00%      94.853us         0.01%     137.067us      45.689us      16.291ms         1.32%      16.291ms       5.430ms           0 B           0 B       3.48 GB       3.48 GB             3            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.291ms         1.32%      16.291ms       5.430ms           0 B           0 B           0 B           0 B             3            --  
                                    aten::_foreach_add_         0.06%       1.219ms         0.10%       2.079ms     346.458us      15.940ms         1.29%      15.940ms       2.657ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.940ms         1.29%      15.940ms       1.063ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_div_         0.01%     197.289us         0.02%     309.896us     103.299us      15.940ms         1.29%      15.940ms       5.313ms           0 B           0 B           0 B           0 B             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.987s
Self CUDA time total: 1.234s
