-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     193.887ms        32.31%     193.887ms      64.629ms           0 B           0 B           0 B           0 B             3            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     157.469ms        26.25%     157.469ms      52.490ms           0 B           0 B           0 B           0 B             3            --  
                                               aten::mm         2.73%      28.168ms         3.71%      38.344ms      21.627us     156.480ms        26.08%     156.480ms      88.257us           0 B           0 B      12.30 GB      12.30 GB          1773  21970368331.776  
                    aten::_efficient_attention_backward         0.31%       3.194ms         1.13%      11.649ms     138.678us      79.639ms        13.27%      82.553ms     982.770us           0 B           0 B       1.31 GB      -3.62 GB            84            --  
fmha_cutlassB_bf16_aligned_64x64_k128_seqaligned_sm8...         0.00%       0.000us         0.00%       0.000us       0.000us      79.639ms        13.27%      79.639ms     948.078us           0 B           0 B           0 B           0 B            84            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      53.752ms         8.96%      53.752ms      90.950us           0 B           0 B           0 B           0 B           591            --  
                                            aten::copy_         1.84%      19.025ms         4.07%      42.050ms       9.934us      52.799ms         8.80%      52.799ms      12.473us           0 B           0 B           0 B           0 B          4233            --  
                                              aten::mul         3.91%      40.422ms         5.93%      61.305ms      14.191us      44.920ms         7.49%      44.920ms      10.398us           0 B           0 B      37.30 GB      37.30 GB          4320   9919770.624  
                                    aten::_foreach_mul_         0.05%     482.116us         0.07%     767.325us     127.887us      31.867ms         5.31%      31.867ms       5.311ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.867ms         5.31%      31.867ms       1.062ms           0 B           0 B           0 B           0 B            30            --  
                                aten::_foreach_addcdiv_         0.03%     334.586us         0.04%     444.495us     148.165us      30.751ms         5.13%      30.751ms      10.250ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      30.751ms         5.13%      30.751ms       2.050ms           0 B           0 B           0 B           0 B            15            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      28.589ms         4.76%      28.589ms      56.725us           0 B           0 B           0 B           0 B           504            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      25.006ms         4.17%      25.006ms      99.231us           0 B           0 B           0 B           0 B           252            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.971ms         4.16%      24.971ms      13.447us           0 B           0 B           0 B           0 B          1857            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.673ms         3.95%      23.673ms      11.673us           0 B           0 B           0 B           0 B          2028            --  
                                   aten::_foreach_lerp_         0.03%     326.615us         0.04%     445.609us     148.536us      23.470ms         3.91%      23.470ms       7.823ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.470ms         3.91%      23.470ms       1.565ms           0 B           0 B           0 B           0 B            15            --  
                                aten::_foreach_addcmul_         0.04%     374.620us         0.05%     492.192us     164.064us      23.466ms         3.91%      23.466ms       7.822ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.466ms         3.91%      23.466ms       1.564ms           0 B           0 B           0 B           0 B            15            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.605ms         3.77%      22.605ms      14.832us           0 B           0 B           0 B           0 B          1524            --  
                                             aten::add_         0.60%       6.197ms         1.16%      11.979ms       5.907us      19.240ms         3.21%      19.240ms       9.487us           0 B           0 B           0 B           0 B          2028            --  
                     aten::_efficient_attention_forward         0.13%       1.332ms         0.56%       5.776ms      68.764us      19.215ms         3.20%      19.356ms     230.434us           0 B           0 B     682.58 MB           0 B            84            --  
fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us      19.215ms         3.20%      19.215ms     228.745us           0 B           0 B           0 B           0 B            84            --  
                       aten::_log_softmax_backward_data         0.01%      89.364us         0.01%     127.551us      42.517us      16.209ms         2.70%      16.209ms       5.403ms           0 B           0 B       3.48 GB       3.48 GB             3            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.209ms         2.70%      16.209ms       5.403ms           0 B           0 B           0 B           0 B             3            --  
                                    aten::_foreach_add_         0.13%       1.389ms         0.21%       2.187ms     364.579us      15.962ms         2.66%      15.962ms       2.660ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.962ms         2.66%      15.962ms       1.064ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_div_         0.02%     191.314us         0.03%     299.775us      99.925us      15.947ms         2.66%      15.947ms       5.316ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.947ms         2.66%      15.947ms       1.063ms           0 B           0 B           0 B           0 B            15            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.033s
Self CUDA time total: 599.993ms
