-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     210.918ms        41.05%     210.918ms      70.306ms           0 B           0 B           0 B           0 B             3            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     157.393ms        30.63%     157.393ms      52.464ms           0 B           0 B           0 B           0 B             3            --  
                                               aten::mm         2.80%      34.302ms         3.80%      46.528ms      26.242us     156.370ms        30.43%     156.370ms      88.195us           0 B           0 B      12.30 GB      12.30 GB          1773  21970368331.776  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      53.657ms        10.44%      53.657ms      90.791us           0 B           0 B           0 B           0 B           591            --  
                                            aten::copy_         1.92%      23.523ms         4.35%      53.197ms      12.567us      52.226ms        10.16%      52.226ms      12.338us           0 B           0 B           0 B           0 B          4233            --  
                                              aten::mul         4.05%      49.527ms         6.09%      74.485ms      17.242us      44.785ms         8.72%      44.785ms      10.367us           0 B           0 B      37.30 GB      37.30 GB          4320   9918590.976  
                                    aten::_foreach_mul_         0.03%     422.020us         0.06%     699.739us     116.623us      31.861ms         6.20%      31.861ms       5.310ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      31.861ms         6.20%      31.861ms       1.062ms           0 B           0 B           0 B           0 B            30            --  
                                aten::_foreach_addcdiv_         0.03%     351.314us         0.04%     465.981us     155.327us      30.741ms         5.98%      30.741ms      10.247ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      30.741ms         5.98%      30.741ms       2.049ms           0 B           0 B           0 B           0 B            15            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      28.723ms         5.59%      28.723ms      56.991us           0 B           0 B           0 B           0 B           504            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      25.149ms         4.89%      25.149ms      99.796us           0 B           0 B           0 B           0 B           252            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.853ms         4.84%      24.853ms      13.383us           0 B           0 B           0 B           0 B          1857            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.473ms         4.57%      23.473ms      11.574us           0 B           0 B           0 B           0 B          2028            --  
                                   aten::_foreach_lerp_         0.02%     276.044us         0.03%     386.668us     128.889us      23.470ms         4.57%      23.470ms       7.823ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.470ms         4.57%      23.470ms       1.565ms           0 B           0 B           0 B           0 B            15            --  
                                aten::_foreach_addcmul_         0.03%     330.612us         0.04%     440.738us     146.913us      23.445ms         4.56%      23.445ms       7.815ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      23.445ms         4.56%      23.445ms       1.563ms           0 B           0 B           0 B           0 B            15            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.288ms         4.34%      22.288ms      14.625us           0 B           0 B           0 B           0 B          1524            --  
                                             aten::add_         0.66%       8.056ms         1.17%      14.293ms       7.048us      19.228ms         3.74%      19.228ms       9.481us           0 B           0 B           0 B           0 B          2028            --  
                       aten::_log_softmax_backward_data         0.01%      95.994us         0.01%     136.038us      45.346us      16.205ms         3.15%      16.205ms       5.402ms           0 B           0 B       3.48 GB       3.48 GB             3            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.205ms         3.15%      16.205ms       5.402ms           0 B           0 B           0 B           0 B             3            --  
                                    aten::_foreach_add_         0.10%       1.268ms         0.17%       2.060ms     343.414us      15.946ms         3.10%      15.946ms       2.658ms           0 B           0 B           0 B           0 B             6            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.946ms         3.10%      15.946ms       1.063ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_div_         0.02%     194.769us         0.03%     319.538us     106.513us      15.932ms         3.10%      15.932ms       5.311ms           0 B           0 B           0 B           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.932ms         3.10%      15.932ms       1.062ms           0 B           0 B           0 B           0 B            15            --  
                                    aten::_foreach_sqrt         0.14%       1.654ms         0.43%       5.269ms       1.756ms      15.929ms         3.10%      15.929ms       5.310ms           0 B           0 B       6.66 GB           0 B             3            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      15.929ms         3.10%      15.929ms       1.062ms           0 B           0 B           0 B           0 B            15            --  
                                     aten::_log_softmax         0.00%      48.945us         0.01%      67.682us      22.561us      15.154ms         2.95%      15.154ms       5.051ms           0 B           0 B       3.48 GB       3.48 GB             3            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      15.154ms         2.95%      15.154ms       5.051ms           0 B           0 B           0 B           0 B             3            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.223s
Self CUDA time total: 513.835ms
