LAST SEEN   TYPE      REASON                    OBJECT                        MESSAGE
23m         Normal    Starting                  node/day12-control-plane      
23m         Normal    NodeAllocatableEnforced   node/day12-control-plane      Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientMemory   node/day12-control-plane      Node day12-control-plane status is now: NodeHasSufficientMemory
23m         Normal    NodeHasNoDiskPressure     node/day12-control-plane      Node day12-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientPID      node/day12-control-plane      Node day12-control-plane status is now: NodeHasSufficientPID
23m         Normal    Starting                  node/day12-control-plane      Starting kubelet.
23m         Normal    RegisteredNode            node/day12-control-plane      Node day12-control-plane event: Registered Node day12-control-plane in Controller
22m         Normal    NodeReady                 node/day12-control-plane      Node day12-control-plane status is now: NodeReady
22m         Normal    ScalingReplicaSet         deployment/sod                Scaled up replica set sod-79475c7bc9 from 0 to 1
22m         Normal    SuccessfulCreate          replicaset/sod-79475c7bc9     Created pod: sod-79475c7bc9-6skcj
22m         Normal    Scheduled                 pod/sod-79475c7bc9-6skcj      Successfully assigned default/sod-79475c7bc9-6skcj to day12-control-plane
12m         Normal    ScalingReplicaSet         deployment/sod                Scaled up replica set sod-79475c7bc9 from 1 to 3
12m         Normal    SuccessfulRescale         horizontalpodautoscaler/sod   New size: 3; reason: cpu resource utilization (percentage of request) above target
12m         Normal    Scheduled                 pod/sod-79475c7bc9-shqkt      Successfully assigned default/sod-79475c7bc9-shqkt to day12-control-plane
12m         Normal    SuccessfulCreate          replicaset/sod-79475c7bc9     Created pod: sod-79475c7bc9-7qbcc
12m         Normal    Scheduled                 pod/sod-79475c7bc9-7qbcc      Successfully assigned default/sod-79475c7bc9-7qbcc to day12-control-plane
12m         Normal    SuccessfulCreate          replicaset/sod-79475c7bc9     Created pod: sod-79475c7bc9-shqkt
12m         Warning   Unhealthy                 pod/sod-79475c7bc9-shqkt      Startup probe failed: Get "http://10.244.0.11:8000/healthz": dial tcp 10.244.0.11:8000: connect: connection refused
12m         Normal    SuccessfulRescale         horizontalpodautoscaler/sod   New size: 4; reason: cpu resource utilization (percentage of request) above target
12m         Normal    SuccessfulCreate          replicaset/sod-79475c7bc9     Created pod: sod-79475c7bc9-mp5q6
12m         Normal    Scheduled                 pod/sod-79475c7bc9-mp5q6      Successfully assigned default/sod-79475c7bc9-mp5q6 to day12-control-plane
12m         Normal    ScalingReplicaSet         deployment/sod                Scaled up replica set sod-79475c7bc9 from 3 to 4
12m         Warning   Unhealthy                 pod/sod-79475c7bc9-6skcj      Readiness probe failed: Get "http://10.244.0.5:8000/readyz": dial tcp 10.244.0.5:8000: connect: connection refused
