LAST SEEN   TYPE      REASON                         OBJECT                        MESSAGE
8m29s       Normal    BackOff                        pod/sod-6f94dddf67-cvtfj      Back-off pulling image "sod-onnx-cpu:sync"
8m29s       Warning   Failed                         pod/sod-6f94dddf67-cvtfj      Error: ImagePullBackOff
8m7s        Normal    Killing                        pod/sod-79475c7bc9-mp5q6      Stopping container sod
8m4s        Warning   Unhealthy                      pod/sod-79475c7bc9-mp5q6      Readiness probe failed: Get "http://10.244.0.12:8000/readyz": dial tcp 10.244.0.12:8000: connect: connection refused
8m2s        Normal    ScalingReplicaSet              deployment/sod                Scaled up replica set sod-6f94dddf67 from 0 to 1
8m2s        Normal    SuccessfulCreate               replicaset/sod-6f94dddf67     Created pod: sod-6f94dddf67-kjpx9
8m2s        Normal    Scheduled                      pod/sod-6f94dddf67-kjpx9      Successfully assigned default/sod-6f94dddf67-kjpx9 to day12-control-plane
7m19s       Normal    SuccessfulCreate               replicaset/sod-6f94dddf67     Created pod: sod-6f94dddf67-dgl9l
7m19s       Normal    ScalingReplicaSet              deployment/sod                Scaled up replica set sod-6f94dddf67 from 1 to 3
7m19s       Normal    SuccessfulRescale              horizontalpodautoscaler/sod   New size: 3; reason: cpu resource utilization (percentage of request) above target
7m19s       Normal    SuccessfulCreate               replicaset/sod-6f94dddf67     Created pod: sod-6f94dddf67-8cpjg
7m19s       Normal    Scheduled                      pod/sod-6f94dddf67-8cpjg      Successfully assigned default/sod-6f94dddf67-8cpjg to day12-control-plane
7m19s       Normal    Scheduled                      pod/sod-6f94dddf67-dgl9l      Successfully assigned default/sod-6f94dddf67-dgl9l to day12-control-plane
6m38s       Warning   Unhealthy                      pod/sod-6f94dddf67-8cpjg      Liveness probe failed: Get "http://10.244.0.19:8000/healthz": read tcp 10.244.0.1:33800->10.244.0.19:8000: read: connection reset by peer
6m32s       Normal    SuccessfulCreate               replicaset/sod-6f94dddf67     Created pod: sod-6f94dddf67-pdh8s
6m32s       Normal    SuccessfulRescale              horizontalpodautoscaler/sod   New size: 4; reason: cpu resource utilization (percentage of request) above target
