LAST SEEN   TYPE      REASON                         OBJECT                           MESSAGE
8m33s       Normal    Scheduled                      pod/sod-79475c7bc9-vzhkz         Successfully assigned default/sod-79475c7bc9-vzhkz to day12-control-plane
7m42s       Normal    Scheduled                      pod/sod-79475c7bc9-cl74w         Successfully assigned default/sod-79475c7bc9-cl74w to day12-control-plane
10m         Normal    Scheduled                      pod/sod-79475c7bc9-xslch         Successfully assigned default/sod-79475c7bc9-xslch to day12-control-plane
12m         Normal    Scheduled                      pod/sod-74fcb696cd-b4zcf         Successfully assigned default/sod-74fcb696cd-b4zcf to day12-control-plane
8m33s       Normal    Scheduled                      pod/sod-79475c7bc9-5kr2t         Successfully assigned default/sod-79475c7bc9-5kr2t to day12-control-plane
14m         Normal    Scheduled                      pod/sod-74fcb696cd-vngrs         Successfully assigned default/sod-74fcb696cd-vngrs to day12-control-plane
11m         Normal    Scheduled                      pod/sod-74fcb696cd-xt5ff         Successfully assigned default/sod-74fcb696cd-xt5ff to day12-control-plane
33m         Normal    BackOff                        pod/sod-6f94dddf67-cvtfj         Back-off pulling image "sod-onnx-cpu:sync"
33m         Warning   Failed                         pod/sod-6f94dddf67-cvtfj         Error: ImagePullBackOff
33m         Normal    Killing                        pod/sod-79475c7bc9-mp5q6         Stopping container sod
33m         Warning   Unhealthy                      pod/sod-79475c7bc9-mp5q6         Readiness probe failed: Get "http://10.244.0.12:8000/readyz": dial tcp 10.244.0.12:8000: connect: connection refused
33m         Normal    Scheduled                      pod/sod-6f94dddf67-kjpx9         Successfully assigned default/sod-6f94dddf67-kjpx9 to day12-control-plane
33m         Normal    SuccessfulCreate               replicaset/sod-6f94dddf67        Created pod: sod-6f94dddf67-kjpx9
33m         Normal    ScalingReplicaSet              deployment/sod                   Scaled up replica set sod-6f94dddf67 from 0 to 1
32m         Normal    SuccessfulCreate               replicaset/sod-6f94dddf67        Created pod: sod-6f94dddf67-8cpjg
32m         Normal    Scheduled                      pod/sod-6f94dddf67-8cpjg         Successfully assigned default/sod-6f94dddf67-8cpjg to day12-control-plane
32m         Normal    SuccessfulCreate               replicaset/sod-6f94dddf67        Created pod: sod-6f94dddf67-dgl9l
32m         Normal    SuccessfulRescale              horizontalpodautoscaler/sod      New size: 3; reason: cpu resource utilization (percentage of request) above target
32m         Normal    ScalingReplicaSet              deployment/sod                   Scaled up replica set sod-6f94dddf67 from 1 to 3
32m         Normal    Scheduled                      pod/sod-6f94dddf67-dgl9l         Successfully assigned default/sod-6f94dddf67-dgl9l to day12-control-plane
31m         Warning   Unhealthy                      pod/sod-6f94dddf67-8cpjg         Liveness probe failed: Get "http://10.244.0.19:8000/healthz": read tcp 10.244.0.1:33800->10.244.0.19:8000: read: connection reset by peer
31m         Normal    SuccessfulRescale              horizontalpodautoscaler/sod      New size: 4; reason: cpu resource utilization (percentage of request) above target
31m         Normal    Scheduled                      pod/sod-6f94dddf67-pdh8s         Successfully assigned default/sod-6f94dddf67-pdh8s to day12-control-plane
31m         Normal    SuccessfulCreate               replicaset/sod-6f94dddf67        Created pod: sod-6f94dddf67-pdh8s
31m         Normal    ScalingReplicaSet              deployment/sod                   Scaled up replica set sod-6f94dddf67 from 3 to 4
30m         Warning   Unhealthy                      pod/sod-6f94dddf67-8cpjg         Readiness probe failed: Get "http://10.244.0.19:8000/readyz": read tcp 10.244.0.1:34022->10.244.0.19:8000: read: connection reset by peer
30m         Warning   Unhealthy                      pod/sod-6f94dddf67-8cpjg         Liveness probe failed: Get "http://10.244.0.19:8000/healthz": EOF
30m         Warning   Unhealthy                      pod/sod-6f94dddf67-pdh8s         Liveness probe failed: Get "http://10.244.0.20:8000/healthz": dial tcp 10.244.0.20:8000: connect: connection refused
30m         Warning   Unhealthy                      pod/sod-6f94dddf67-pdh8s         Readiness probe failed: Get "http://10.244.0.20:8000/readyz": dial tcp 10.244.0.20:8000: connect: connection refused
30m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/sod      invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
30m         Warning   Unhealthy                      pod/sod-6f94dddf67-dgl9l         Startup probe failed: Get "http://10.244.0.18:8000/healthz": dial tcp 10.244.0.18:8000: connect: connection refused
29m         Warning   Unhealthy                      pod/sod-6f94dddf67-kjpx9         Readiness probe failed: Get "http://10.244.0.17:8000/readyz": read tcp 10.244.0.1:42944->10.244.0.17:8000: read: connection reset by peer
