
########## 1. 单副本、latest 镜像、删掉 HPA（排除扩容干扰） ##########
22:07:35
deployment "sod" successfully rolled out
requests.cpu = 500m
limits.cpu   = 2

########## 2. 阶梯加压：并发 1/2/4/8/16，每档 60s ##########
22:07:41
--- 并发 1 开始 22:07:51 ---
--- 并发 1 结束 22:08:53 ---
--- 并发 2 开始 22:08:53 ---
--- 并发 2 结束 22:09:55 ---
--- 并发 4 开始 22:09:55 ---
--- 并发 4 结束 22:10:57 ---
--- 并发 8 开始 22:10:57 ---
--- 并发 8 结束 22:11:58 ---
--- 并发 16 开始 22:11:58 ---
--- 并发 16 结束 22:12:58 ---

########## 3. 结果 ##########
22:14:25
time inflight cpu_m util_vs_requests_pct
22:07:42 0 6 1
22:07:47 0 6 1
22:07:58 NA 15 3
22:08:04 0 15 3
22:08:11 0 869 174
22:08:17 0 869 174
22:08:24 0 1880 376
22:08:31 NA 1880 376
22:08:37 NA 1880 376
22:08:43 NA 0 0
22:08:49 NA 0 0
22:08:55 0 763 153
22:09:05 NA 763 153
22:09:15 NA 1309 262
22:09:25 1 1903 381
22:09:31 NA 1903 381
22:09:40 NA 0 0
22:09:50 NA 0 0
22:09:57 0 614 123
22:10:07 NA 614 123
22:10:15 0 1895 379
22:10:24 0 1866 373
22:10:32 NA 1866 373
22:10:42 NA 0 0
22:10:52 NA 0 0
22:11:01 NA 1839 368
22:11:11 NA 1839 368
22:11:20 NA 1839 368
22:11:29 NA 1878 376
22:11:39 NA 0 0
22:11:49 NA 0 0
22:11:58 NA 1819 364
22:12:04 NA 1819 364
22:12:09 NA 1920 384
22:12:15 NA 1920 384
22:12:24 NA 1869 374
22:12:33 NA 1869 374
22:12:43 NA 1928 386
22:12:52 NA 1928 386
22:13:02 NA 0 0
22:13:11 NA 1957 391
22:13:16 NA 1957 391
22:13:22 NA 1957 391
22:13:27 NA 1963 393
22:13:32 NA 1963 393
22:13:38 NA 0 0
22:13:43 NA 0 0
22:13:49 NA 0 0
22:13:54 NA 0 0
22:13:59 NA 0 0
22:14:05 NA 0 0
22:14:10 NA 0 0
22:14:15 NA 0 0
22:14:20 NA 0 0
RUNE_DONE 2026-09-18 22:14:25

