time inflight cpu_m util_vs_requests_pct
22:15:55 0 3 1
22:16:00 0 0 0
22:16:06 1 0 0
22:16:11 1 379 76
22:16:16 1 379 76
22:16:22 1 379 76
22:16:28 1 1997 399
22:16:33 1 1997 399
22:16:39 1 1951 390
22:16:44 1 1951 390
22:16:50 1 1951 390
22:16:55 1 1942 388
22:17:01 1 1942 388
22:17:06 3 1942 388
22:17:11 2 1936 387
22:17:19 2 1936 387
22:17:24 2 1590 318
22:17:30 2 1590 318
22:17:35 2 1590 318
22:17:41 2 1590 318
22:17:46 2 1590 318
22:17:52 2 1590 318
22:17:57 2 2002 400
22:18:02 2 2002 400
22:18:08 6 2003 401
22:18:14 4 2003 401
22:18:20 4 2003 401
22:18:26 4 2000 400
22:18:32 4 2000 400
22:18:38 4 1996 399
22:18:44 4 1996 399
22:18:49 4 1996 399
22:18:55 4 2001 400
22:19:01 4 2001 400
22:19:07 4 2001 400
22:19:12 8 2002 400
22:19:18 8 2002 400
22:19:24 8 1997 399
22:19:31 8 1997 399
22:19:36 8 1997 399
22:19:42 8 2003 401
22:19:48 8 2003 401
22:19:54 7 2001 400
22:20:02 7 2001 400
22:20:08 8 1998 400
22:20:19 NA 1998 400
22:20:25 23 1999 400
22:20:32 21 1999 400
22:20:40 21 1985 397
22:20:55 NA 1991 398
22:21:15 21 1934 387
22:21:32 21 1753 351
22:21:39 21 1781 356
22:21:46 21 1781 356
22:21:53 21 1781 356
22:22:03 NA 0 0
