加压停止时刻: 21:53:48（runD step5 起点）
22:02:15 sod   Deployment/sod   cpu: 1%/60%   1     4     1     14m | ready=1
22:02:30 sod   Deployment/sod   cpu: 0%/60%   1     4     1     14m | ready=1
22:02:43 sod   Deployment/sod   cpu: 1%/60%   1     4     1     14m | ready=1
22:02:55 sod   Deployment/sod   cpu: 1%/60%   1     4     1     14m | ready=1
22:03:08 sod   Deployment/sod   cpu: 1%/60%   1     4     1     15m | ready=1
22:03:20 sod   Deployment/sod   cpu: 2%/60%   1     4     1     15m | ready=1
22:03:32 sod   Deployment/sod   cpu: 1%/60%   1     4     1     15m | ready=1
22:03:43 sod   Deployment/sod   cpu: 1%/60%   1     4     1     15m | ready=1
22:03:54 sod   Deployment/sod   cpu: 1%/60%   1     4     1     15m | ready=1
22:04:05 sod   Deployment/sod   cpu: 1%/60%   1     4     1     16m | ready=1
22:04:16 sod   Deployment/sod   cpu: 1%/60%   1     4     1     16m | ready=1
22:04:29 sod   Deployment/sod   cpu: 1%/60%   1     4     1     16m | ready=1
22:04:40 sod   Deployment/sod   cpu: 1%/60%   1     4     1     16m | ready=1
22:04:51 sod   Deployment/sod   cpu: 1%/60%   1     4     1     16m | ready=1
22:05:01 sod   Deployment/sod   cpu: 0%/60%   1     4     1     17m | ready=1
22:05:12 sod   Deployment/sod   cpu: 1%/60%   1     4     1     17m | ready=1
22:05:23 sod   Deployment/sod   cpu: 1%/60%   1     4     1     17m | ready=1
22:05:35 sod   Deployment/sod   cpu: 0%/60%   1     4     1     17m | ready=1
22:05:48 sod   Deployment/sod   cpu: 1%/60%   1     4     1     17m | ready=1
22:05:59 sod   Deployment/sod   cpu: 1%/60%   1     4     1     18m | ready=1
22:06:11 sod   Deployment/sod   cpu: 1%/60%   1     4     1     18m | ready=1
22:06:22 sod   Deployment/sod   cpu: 1%/60%   1     4     1     18m | ready=1
22:06:34 sod   Deployment/sod   cpu: 0%/60%   1     4     1     18m | ready=1
22:06:48 sod   Deployment/sod   cpu: 1%/60%   1     4     1     18m | ready=1
22:07:00 sod   Deployment/sod   cpu: 1%/60%   1     4     1     19m | ready=1
22:07:13 sod   Deployment/sod   cpu: 2%/60%   1     4     1     19m | ready=1
22:07:24 sod   Deployment/sod   cpu: 2%/60%   1     4     1     19m | ready=1
